,id,amount_ethereum,amount_dollars,transaction_date
0,7000,17Ξ,"($43,165)","May 25, 2021"
1,7000,14.40Ξ,"($27,310)","Feb 18, 2021"
2,7000,7.20Ξ,"($12,572)","Feb 09, 2021"
3,7001,0.05Ξ,($14),"Jun 27, 2017"
4,7003,22.40Ξ,"($47,535)","Apr 12, 2021"
5,7003,21.25Ξ,"($33,169)","Feb 24, 2021"
6,7003,4.31Ξ,"($5,787)","Jan 27, 2021"
7,7003,2.90Ξ,"($1,031)","Sep 26, 2020"
8,7003,2.75Ξ,"($1,046)","Sep 20, 2020"
9,7005,21.99Ξ,"($39,545)","Mar 21, 2021"
10,7005,21Ξ,"($30,946)","Mar 05, 2021"
11,7005,22.99Ξ,"($39,876)","Feb 22, 2021"
12,7005,21Ξ,"($35,871)","Feb 22, 2021"
13,7005,8.50Ξ,"($15,106)","Feb 17, 2021"
14,7005,2.75Ξ,($948),"Sep 25, 2020"
15,7005,2.98Ξ,"($1,028)","Sep 25, 2020"
16,7005,2.29Ξ,($792),"Sep 24, 2020"
17,7005,2.19Ξ,($757),"Sep 24, 2020"
18,7005,1.80Ξ,($613),"Sep 22, 2020"
19,7006,23Ξ,"($48,289)","Jul 11, 2021"
20,7006,24Ξ,"($66,330)","Apr 29, 2021"
21,7007,84.99Ξ,"($268,132)","May 03, 2021"
22,7007,55.55Ξ,"($114,823)","Apr 08, 2021"
23,7007,34Ξ,"($62,226)","Mar 10, 2021"
24,7008,17.50Ξ,"($37,189)","Apr 03, 2021"
25,7008,17Ξ,($<0.01),"Apr 01, 2021"
26,7008,2.50Ξ,($873),"Sep 25, 2020"
27,7008,1.59Ξ,($598),"Sep 14, 2020"
28,7008,0.05Ξ,($10),"May 21, 2020"
29,7008,0.61Ξ,($122),"May 14, 2020"
30,7011,24Ξ,"($46,753)","Feb 21, 2021"
31,7011,7.79Ξ,"($2,788)","Sep 28, 2020"
32,7011,0.70Ξ,($116),"Apr 06, 2019"
33,7012,26.50Ξ,"($36,244)","Feb 28, 2021"
34,7012,2.49Ξ,($951),"Sep 18, 2020"
35,7012,6Ξ,"($2,180)","Sep 13, 2020"
36,7012,0.75Ξ,($125),"Jan 15, 2020"
37,7013,14Ξ,"($34,200)","Jun 10, 2021"
38,7013,13.50Ξ,"($37,345)","Jun 02, 2021"
39,7013,5.88Ξ,"($7,291)","Jan 23, 2021"
40,7013,0.99Ξ,($201),"May 07, 2020"
41,7013,1.10Ξ,($195),"Jan 18, 2020"
42,7015,56Ξ,"($89,687)","Mar 25, 2021"
43,7015,12Ξ,"($7,544)","Dec 22, 2020"
44,7018,63Ξ,"($117,690)","Jul 17, 2021"
45,7018,59Ξ,"($193,905)","May 04, 2021"
46,7018,22.50Ξ,"($43,197)","Feb 19, 2021"
47,7019,24.50Ξ,"($52,647)","Jul 12, 2021"
48,7019,12Ξ,"($21,878)","Feb 15, 2021"
49,7019,4.82Ξ,"($1,713)","Sep 26, 2020"
50,7019,0.67Ξ,($181),"Feb 16, 2020"
51,7019,0.50Ξ,($85),"May 09, 2019"
52,7022,0.09Ξ,($56),"Apr 22, 2018"
53,7023,36.33Ξ,"($55,526)","Feb 23, 2021"
54,7025,21Ξ,"($29,946)","Mar 01, 2021"
55,7025,5.10Ξ,"($7,287)","Jan 25, 2021"
56,7025,5.10Ξ,"($1,804)","Sep 29, 2020"
57,7025,3.45Ξ,"($1,241)","Sep 28, 2020"
58,7025,2.60Ξ,($913),"Sep 24, 2020"
59,7025,2.50Ξ,($865),"Sep 24, 2020"
60,7025,2.30Ξ,($779),"Sep 24, 2020"
61,7026,57.99Ξ,"($124,553)","Apr 12, 2021"
62,7028,0.05Ξ,($21),"Nov 29, 2017"
63,7029,22Ξ,"($86,526)","May 09, 2021"
64,7031,50Ξ,"($115,764)","Jul 04, 2021"
65,7032,3.95Ξ,"($4,882)","Jan 18, 2021"
66,7033,18.75Ξ,"($31,829)","Mar 28, 2021"
67,7033,18Ξ,"($30,702)","Mar 27, 2021"
68,7033,16Ξ,"($27,238)","Mar 27, 2021"
69,7034,4Ξ,"($1,741)","Nov 07, 2020"
70,7034,0.83Ξ,($188),"Feb 28, 2020"
71,7034,0.85Ξ,($142),"Jan 21, 2020"
72,7035,1.05Ξ,($200),"Feb 03, 2020"
73,7035,0.10Ξ,($38),"Nov 22, 2017"
74,7037,0.05Ξ,($26),"May 28, 2018"
75,7040,6.50Ξ,"($10,774)","Feb 08, 2021"
76,7040,0.09Ξ,($42),"Dec 04, 2017"
77,7045,25Ξ,"($53,954)","Apr 13, 2021"
78,7045,29.99Ξ,"($61,700)","Apr 08, 2021"
79,7045,23.50Ξ,"($40,853)","Mar 12, 2021"
80,7049,1.10Ξ,($378),"Jul 31, 2020"
81,7051,23.50Ξ,"($47,220)","Jul 15, 2021"
82,7051,21.99Ξ,"($50,760)","Jul 06, 2021"
83,7051,24Ξ,"($59,739)","May 28, 2021"
84,7051,18Ξ,"($36,028)","Feb 20, 2021"
85,7051,4.50Ξ,"($5,625)","Jan 08, 2021"
86,7051,0.80Ξ,($191),"Mar 06, 2020"
87,7052,0.20Ξ,($76),"Apr 01, 2018"
88,7053,26Ξ,"($40,967)","Mar 04, 2021"
89,7053,23.99Ξ,"($37,454)","Mar 02, 2021"
90,7054,0.60Ξ,($153),"Feb 16, 2020"
91,7054,0.10Ξ,($54),"Mar 22, 2018"
92,7056,33.30Ξ,"($59,244)","Feb 22, 2021"
93,7056,19.90Ξ,"($38,462)","Feb 21, 2021"
94,7056,18.10Ξ,"($34,327)","Feb 18, 2021"
95,7060,39.99Ξ,"($83,404)","Apr 06, 2021"
96,7060,38.50Ξ,"($69,188)","Mar 21, 2021"
97,7062,0.30Ξ,($32),"Feb 01, 2019"
98,7062,0.30Ξ,($68),"Jul 24, 2017"
99,7065,31.50Ξ,"($60,471)","Jul 15, 2021"
100,7065,5Ξ,"($1,729)","Sep 24, 2020"
101,7067,24.99Ξ,"($47,097)","Jul 17, 2021"
102,7067,17Ξ,"($43,378)","Jun 15, 2021"
103,7067,13.98Ξ,"($35,051)","Jun 08, 2021"
104,7069,14.89Ξ,"($29,128)","Feb 19, 2021"
105,7069,10.50Ξ,"($19,257)","Feb 17, 2021"
106,7069,9.50Ξ,"($17,127)","Feb 17, 2021"
107,7070,1.70Ξ,($337),"May 21, 2020"
108,7072,29Ξ,"($54,098)","Mar 14, 2021"
109,7072,21.98Ξ,"($29,632)","Feb 28, 2021"
110,7072,24Ξ,"($32,355)","Feb 28, 2021"
111,7072,22Ξ,"($42,170)","Feb 22, 2021"
112,7072,9Ξ,"($9,606)","Jan 13, 2021"
113,7072,5.55Ξ,"($4,000)","Dec 28, 2020"
114,7072,3.85Ξ,"($2,351)","Dec 21, 2020"
115,7072,5.75Ξ,"($2,244)","Oct 31, 2020"
116,7072,5Ξ,"($2,067)","Oct 24, 2020"
117,7072,6Ξ,"($2,230)","Oct 11, 2020"
118,7072,5.99Ξ,"($2,108)","Oct 04, 2020"
119,7072,5Ξ,"($1,759)","Oct 04, 2020"
120,7072,4.50Ξ,"($1,583)","Oct 04, 2020"
121,7072,0.05Ξ,($30),"Jun 08, 2018"
122,7073,20.49Ξ,"($37,144)","Mar 11, 2021"
123,7073,10.99Ξ,"($19,143)","Feb 15, 2021"
124,7073,0.30Ξ,($89),"Aug 09, 2017"
125,7073,0.34Ξ,($78),"Jul 20, 2017"
126,7073,0.30Ξ,($58),"Jul 19, 2017"
127,7074,52Ξ,"($98,291)","Mar 13, 2021"
128,7074,45Ξ,"($81,589)","Mar 12, 2021"
129,7074,45Ξ,"($61,546)","Feb 28, 2021"
130,7075,24.99Ξ,"($79,291)","May 03, 2021"
131,7075,20.99Ξ,"($45,109)","Apr 12, 2021"
132,7075,16.99Ξ,"($35,119)","Apr 08, 2021"
133,7075,16Ξ,"($33,658)","Apr 05, 2021"
134,7075,26Ξ,"($47,014)","Mar 12, 2021"
135,7075,21.49Ξ,"($39,207)","Mar 11, 2021"
136,7076,59Ξ,"($101,083)","Feb 22, 2021"
137,7076,29.50Ξ,"($37,861)","Jan 28, 2021"
138,7076,2Ξ,"($1,300)","Dec 20, 2020"
139,7077,29Ξ,"($71,492)","Apr 15, 2021"
140,7078,0.39Ξ,($96),"Jul 08, 2017"
141,7078,0.19Ξ,($56),"Jun 29, 2017"
142,7080,20Ξ,"($66,843)","May 03, 2021"
143,7080,3.50Ξ,"($1,252)","Sep 28, 2020"
144,7080,2.30Ξ,($795),"Sep 24, 2020"
145,7087,7Ξ,"($9,331)","Jan 28, 2021"
146,7087,6.33Ξ,"($8,124)","Jan 28, 2021"
147,7087,5.89Ξ,"($7,255)","Jan 24, 2021"
148,7087,3.99Ξ,"($1,372)","Sep 25, 2020"
149,7087,1.25Ξ,($533),"Aug 14, 2020"
150,7087,1.40Ξ,($274),"May 15, 2020"
151,7091,25Ξ,"($45,392)","Mar 19, 2021"
152,7094,9.90Ξ,"($17,150)","Feb 15, 2021"
153,7094,5Ξ,"($3,213)","Dec 26, 2020"
154,7094,4.80Ξ,"($1,784)","Oct 11, 2020"
155,7094,4.40Ξ,"($1,651)","Oct 10, 2020"
156,7094,4.89Ξ,"($1,731)","Oct 06, 2020"
157,7094,5.59Ξ,"($1,960)","Oct 03, 2020"
158,7094,5.99Ξ,"($2,132)","Sep 30, 2020"
159,7094,0.50Ξ,($67),"Jan 04, 2020"
160,7094,0.25Ξ,($45),"Sep 02, 2019"
161,7096,18.99Ξ,"($37,041)","Jun 27, 2021"
162,7096,17Ξ,"($35,040)","Apr 08, 2021"
163,7096,16Ξ,"($33,920)","Apr 05, 2021"
164,7096,26Ξ,"($47,014)","Mar 12, 2021"
165,7096,2Ξ,($403),"May 26, 2020"
166,7098,35Ξ,"($83,139)","Apr 23, 2021"
167,7098,33Ξ,"($77,307)","Apr 14, 2021"
168,7102,2.25Ξ,($785),"Sep 09, 2020"
169,7102,1.69Ξ,($338),"May 22, 2020"
170,7102,0.40Ξ,($118),"Jun 21, 2019"
171,7103,21.49Ξ,"($38,227)","Mar 11, 2021"
172,7104,19.99Ξ,"($37,645)","Jul 16, 2021"
173,7104,17Ξ,"($68,710)","May 11, 2021"
174,7106,18.87Ξ,"($36,696)","Feb 20, 2021"
175,7106,8.50Ξ,"($15,266)","Feb 13, 2021"
176,7107,17.60Ξ,"($32,386)","Feb 17, 2021"
177,7107,8.40Ξ,"($15,189)","Feb 14, 2021"
178,7107,5.75Ξ,"($1,997)","Oct 04, 2020"
179,7107,5.15Ξ,"($1,870)","Sep 28, 2020"
180,7107,4.81Ξ,"($1,721)","Sep 28, 2020"
181,7107,0.50Ξ,($113),"Aug 07, 2019"
182,7110,1Ξ,($213),"May 09, 2020"
183,7111,5Ξ,"($1,021)","May 05, 2020"
184,7112,0.20Ξ,($39),"Oct 12, 2018"
185,7113,5.50Ξ,"($6,823)","Jan 27, 2021"
186,7113,4.50Ξ,"($5,782)","Jan 27, 2021"
