,id,amount_ethereum,amount_dollars,transaction_date
109,8061,0.40Ξ,($49),"Dec 17, 2019"
110,8061,0.25Ξ,($47),"Sep 15, 2019"
111,8062,13.49Ξ,"($25,779)","Feb 19, 2021"
112,8062,8.50Ξ,"($15,378)","Feb 14, 2021"
113,8062,1.95Ξ,($715),"Sep 15, 2020"
114,8062,0.90Ξ,($182),"May 22, 2020"
115,8064,0.80Ξ,($180),"Aug 03, 2017"
116,8065,0.70Ξ,($111),"Apr 04, 2019"
117,8066,95Ξ,"($209,302)","Apr 19, 2021"
118,8067,20.50Ξ,"($43,581)","Apr 12, 2021"
119,8067,2.65Ξ,($925),"Sep 25, 2020"
120,8067,2.40Ξ,($831),"Sep 24, 2020"
121,8067,2.19Ξ,($752),"Sep 24, 2020"
122,8067,1.80Ξ,($613),"Sep 22, 2020"
123,8069,25.45Ξ,"($39,498)","Feb 23, 2021"
124,8069,22.50Ξ,"($42,896)","Feb 21, 2021"
125,8069,0.30Ξ,($54),"Oct 26, 2019"
126,8070,0.59Ξ,($51),"Dec 13, 2018"
127,8071,0.37Ξ,($45),"Dec 17, 2019"
128,8071,0.25Ξ,($47),"Sep 15, 2019"
129,8072,0.05Ξ,($29),"May 31, 2018"
130,8075,37Ξ,"($150,069)","May 10, 2021"
131,8075,1.11Ξ,($260),"Jun 22, 2020"
132,8075,0.90Ξ,($182),"May 22, 2020"
133,8078,22.25Ξ,"($31,848)","Mar 01, 2021"
134,8080,25Ξ,"($43,889)","Feb 22, 2021"
135,8081,11Ξ,"($19,835)","Feb 16, 2021"
136,8081,6.70Ξ,"($12,249)","Feb 12, 2021"
137,8082,40Ξ,"($68,001)","Mar 23, 2021"
138,8082,19.50Ξ,"($35,509)","Feb 16, 2021"
139,8082,12.75Ξ,"($22,485)","Feb 15, 2021"
140,8082,10Ξ,"($17,518)","Feb 15, 2021"
141,8085,0.43Ξ,($116),"Jul 04, 2017"
142,8087,25Ξ,"($42,132)","Feb 23, 2021"
143,8087,13.99Ξ,"($27,803)","Feb 20, 2021"
144,8087,11Ξ,"($21,635)","Feb 19, 2021"
145,8089,18.88Ξ,"($39,533)","Jul 11, 2021"
146,8089,17.99Ξ,"($38,571)","Jul 08, 2021"
147,8091,19.99Ξ,"($45,401)","Apr 13, 2021"
148,8091,4.20Ξ,"($4,456)","Jan 05, 2021"
149,8091,1.90Ξ,($709),"Sep 14, 2020"
150,8091,1.25Ξ,($458),"Sep 11, 2020"
151,8091,0.59Ξ,($80),"Jan 04, 2020"
152,8091,0.30Ξ,($69),"Jul 20, 2019"
153,8092,0.39Ξ,($58),"Dec 05, 2019"
154,8092,0.25Ξ,($47),"Sep 15, 2019"
155,8093,0.32Ξ,($86),"Jul 04, 2017"
156,8095,24.94Ξ,"($46,384)","Mar 15, 2021"
157,8095,11Ξ,"($19,962)","Feb 17, 2021"
158,8095,5Ξ,"($1,863)","Oct 11, 2020"
159,8095,0.88Ξ,($142),"Jan 16, 2020"
160,8095,0.37Ξ,($49),"Dec 22, 2019"
161,8095,0.25Ξ,($38),"Nov 22, 2019"
