,human,rarity,traits_range,hidden_traits_range,amount_ethereum
0,1,-1.1018200784650019,-0.15566078099282601,-0.021784217714127415,0.036752913079175074
1,1,-0.2874519656802157,-0.15566078099282601,-0.021784217714127415,0.4398036417874825
14,1,-1.7549929572464449,-0.15566078099282601,-0.021784217714127415,-0.22235112680473684
33,1,0.8604958721353503,6.424225765937039,-0.021784217714127415,-0.2452674396655806
53,1,-0.8213893242986651,-0.15566078099282601,-0.021784217714127415,0.0022057077613201526
89,1,-1.7654828857065323,6.424225765937039,-0.021784217714127415,-0.020825762450583127
116,1,-1.7322647789162555,-0.15566078099282601,-0.021784217714127415,-0.223502700315332
118,1,1.6713673421001074,-0.15566078099282601,-0.021784217714127415,-0.0156436816529049
124,1,0.5545396253828007,-0.15566078099282601,-0.021784217714127415,-0.021977335961178308
138,1,1.6196170283636762,-0.15566078099282601,-0.021784217714127415,-0.06746448962968728
139,1,0.8028012656048695,-0.15566078099282601,-0.021784217714127415,0.03663775572811554
141,1,0.3290061634909213,-0.15566078099282601,-0.021784217714127415,0.14027937168168034
143,1,-1.7773714712946314,-0.15566078099282601,-0.021784217714127415,1.8216918545016794
155,1,-0.9507651086397432,-0.15566078099282601,-0.021784217714127415,0.036752913079175074
160,1,-1.5951963803711133,-0.15566078099282601,-0.021784217714127415,0.359193496045821
161,1,1.4958358725346446,-0.15566078099282601,-0.021784217714127415,0.004624012133570007
168,1,-1.1518220707914186,-0.15566078099282601,-0.021784217714127415,0.036752913079175074
169,1,-1.3549770186351116,-0.15566078099282601,-0.021784217714127415,0.2670676151982079
173,1,-0.6343189334271061,-0.15566078099282601,-0.021784217714127415,0.3246462907279661
186,1,0.5132792401064569,-0.15566078099282601,-0.021784217714127415,-0.0035521597916556677
195,1,-1.219307277217981,-0.15566078099282601,-0.021784217714127415,-0.0668887028743897
203,1,0.3174672421848252,-0.15566078099282601,-0.021784217714127415,0.09421643125787374
234,1,1.3063178316890653,-0.15566078099282601,-0.021784217714127415,0.03663775572811554
239,1,0.013608981124293087,-0.15566078099282601,-0.021784217714127415,-0.009310027344631489
