,id,total_sold,avg_sold_price,max_sold_price,types,rarity,skin,traits,total_traits,marcador
8905,8905,7.0,8.39,22.0,Female,8550,Mid,"Clown Eyes Blue,Mole,Wild Hair",3,1
8906,8906,4.0,45.5,60.0,Female,478,Mid,"Hot Lipstick,Stringy Hair,Welding Goggles",3,1
8907,8907,1.0,23.95,23.95,Female,726,Mid,"Earring,Horned Rim Glasses,Pink With Hat",3,1
8910,8910,1.0,1.0,1.0,Male,4068,Light,"Nerd Glasses,Police Cap",2,1
8911,8911,2.0,2.62,4.99,Male,7002,Dark,"Big Shades,Mohawk Dark,Normal Beard",3,1
8912,8912,2.0,0.52,0.69,Female,1508,Light,"Hot Lipstick,Purple Eye Shadow,Wild Blonde",3,1
8913,8913,1.0,27.0,27.0,Male,2313,Mid,"Big Shades,Vampire Hair",2,1
8916,8916,2.0,36.5,40.5,Female,573,Dark,"Cigarette,Pigtails,Purple Eye Shadow",3,1
8917,8917,1.0,0.44,0.44,Female,3437,Dark,"Cigarette,Gold Chain,Headband",3,1
8918,8918,1.0,0.75,0.75,Male,4374,Light,"Earring,Nerd Glasses,Smile,Stringy Hair",4,1
8919,8919,10.0,5.3069999999999995,22.25,Male,7497,Dark,"Big Shades,Do-rag,Shadow Beard",3,1
8920,8920,1.0,0.25,0.25,Male,378,Dark,"Buck Teeth,Cigarette,Clown Eyes Green,Stringy Hair",4,1
8922,8922,2.0,1.57,1.79,Female,4562,Dark,"Classic Shades,Hot Lipstick",2,1
8924,8924,8.0,17.05875,23.5,Female,8644,Light,"Black Lipstick,Headband,Horned Rim Glasses",3,1
8925,8925,1.0,0.05,0.05,Male,4279,Mid,"Cigarette,Do-rag,Horned Rim Glasses,Smile",4,1
8926,8926,3.0,4.083333333333333,10.0,Male,4381,Dark,"Bandana,Classic Shades,Smile",3,1
8927,8927,6.0,9.243333333333334,24.0,Male,2973,Light,"Bandana,Silver Chain",2,1
8929,8929,1.0,27.0,27.0,Male,3348,Mid,"Big Shades,Do-rag,Earring,Mole,Normal Beard Black",5,1
