id,type_id,rarity,skin_id,total_traits,total_hidden_traits
246,5,3025,5,1,0
247,4,6555,4,3,0
248,5,5762,5,2,0
249,5,5424,5,2,0
250,5,280,6,1,0
251,5,8409,7,3,1
252,5,5763,6,2,0
253,4,4772,4,2,0
254,5,1145,5,2,0
255,4,3854,6,1,0
256,4,6584,6,2,0
257,4,3781,5,4,0
258,4,5261,6,2,0
259,4,4604,7,2,0
260,4,4674,6,3,0
261,4,3167,5,2,0
262,5,1319,5,2,0
263,5,1167,5,2,0
264,4,7741,4,2,0
265,5,1339,4,2,1
266,4,3391,5,3,0
267,4,7435,5,3,0
268,4,3748,5,2,0
269,5,8052,6,1,0
270,4,4840,5,4,1
271,5,2221,7,2,0
272,4,8109,7,1,0
273,4,393,7,2,0
274,4,4761,6,2,0
275,4,5512,6,4,0
276,5,5432,7,3,0
277,5,8044,6,1,0
278,5,2162,6,1,0
279,5,2661,4,2,0
280,5,1527,7,3,0
281,4,4538,4,1,0
282,4,7,6,0,0
283,5,2601,4,2,0
284,5,9453,6,2,0
285,4,8067,4,1,0
286,5,3101,6,2,0
287,4,7336,4,2,0
288,5,5391,4,3,0
289,4,7419,4,1,0
290,5,9091,7,2,0
291,5,1591,7,1,0
292,4,9340,7,2,0
293,5,3716,6,2,0
294,4,5565,6,2,0
295,4,4980,5,3,1
296,4,5236,7,2,0
297,4,8078,7,1,0
298,4,7686,7,2,0
299,5,2163,6,1,0
300,4,7389,5,2,0
301,4,7277,6,2,0
302,5,2014,4,3,0
303,5,5717,7,3,0
304,5,2379,5,2,0
305,4,7793,7,2,0
306,5,2144,4,3,0
307,5,5939,6,2,0
308,4,6231,7,2,0
309,4,9646,6,3,0
310,4,7559,7,2,0
311,4,5949,5,4,0
312,4,6067,6,2,0
313,4,4628,6,2,0
314,5,9052,6,2,0
315,4,3996,4,2,0
316,5,1317,7,3,0
317,5,8112,5,1,0
318,4,5192,7,3,0
319,5,9975,4,3,0
320,5,2705,6,2,1
321,4,8105,5,1,0
322,4,7636,7,1,0
323,5,695,7,3,0
324,4,8059,5,1,0
325,5,2392,4,3,1
326,4,3972,5,3,0
327,5,1333,5,3,1
328,4,8041,4,1,0
329,4,9931,6,2,0
330,5,9757,7,2,0
331,4,8358,7,2,0
332,5,3722,4,3,1
333,4,9803,5,2,0
334,5,1503,6,3,0
335,4,1865,5,2,0
336,4,2561,7,1,0
337,4,807,7,3,0
338,4,8085,7,1,0
339,4,8310,6,2,0
340,5,3361,4,5,0
341,4,3516,7,4,0
342,5,9734,6,2,0
343,5,9907,6,2,0
344,4,4049,6,2,0
345,4,75,5,1,0
346,5,3744,7,2,1
347,4,3218,7,1,0
348,4,8900,7,2,0
349,5,1084,6,3,0
350,4,5112,5,3,0
351,5,8108,7,1,0
352,4,3194,6,3,0
353,5,2759,7,2,0
354,5,5832,6,2,0
355,4,4072,4,2,0
356,5,1220,4,4,0
357,4,8107,6,1,0
358,5,3742,5,2,1
359,4,6373,6,3,0
360,5,9713,4,2,0
361,4,6902,7,2,0
362,4,8063,7,1,0
363,4,7104,7,3,0
364,4,1452,4,3,0
365,4,4874,4,2,0
366,4,6922,6,2,0
367,4,7157,7,3,0
368,4,2557,5,1,0
369,5,9449,7,2,0
370,4,3801,6,3,0
371,4,1050,5,4,0
372,5,8084,7,1,0
373,2,36,2,1,0
374,4,8707,5,2,0
375,5,8599,5,2,0
376,5,5804,6,2,0
377,5,2329,6,2,0
378,4,3353,4,5,0
379,5,9466,5,2,1
380,5,9283,6,3,0
381,5,9560,6,3,1
382,5,8926,6,2,0
383,5,194,6,2,0
384,5,1554,7,2,0
385,5,9879,7,3,0
386,5,139,7,2,0
387,4,7599,7,2,0
388,4,3387,7,3,0
389,5,1618,7,3,0
390,4,1048,6,2,0
391,5,8098,6,1,0
392,5,1569,5,3,0
393,4,7426,7,1,0
394,4,4700,6,3,0
395,5,749,6,2,1
396,4,4669,6,3,0
397,5,1592,7,1,0
398,4,1432,7,1,0
399,4,8113,5,1,0
400,4,3221,5,2,0
401,5,1945,7,3,0
402,4,1859,5,3,0
403,4,5129,5,2,0
404,4,2604,5,2,0
405,5,257,6,3,0
406,5,8100,7,1,0
407,4,4989,5,2,0
408,5,1713,6,3,0
409,4,4707,5,1,0
410,5,8916,6,2,0
411,4,8608,4,2,0
412,5,8549,6,3,0
413,4,3231,4,3,1
414,5,2775,4,1,0
415,4,841,6,3,0
416,4,3925,6,4,0
417,4,4229,5,3,0
418,5,2555,5,1,0
419,5,1254,5,3,0
420,5,9999,7,2,0
421,4,8831,4,2,0
422,4,6079,7,2,0
423,5,2985,6,4,1
424,4,7451,5,2,0
425,4,4912,4,3,0
426,5,9643,5,3,0
427,4,7804,5,2,0
428,5,8096,5,1,0
429,5,4397,5,1,0
430,4,3917,7,2,0
431,5,3099,5,3,1
432,5,8658,5,2,0
433,4,9723,7,3,0
434,4,7014,7,4,0
435,4,7169,4,2,0
436,4,7718,7,2,0
437,4,3492,7,1,0
438,4,5086,6,3,0
439,5,8062,7,1,0
440,4,8872,7,2,0
441,5,1190,5,2,0
442,4,9781,5,2,0
443,4,1377,6,2,0
444,5,1588,5,1,0
445,4,7507,5,3,0
446,5,154,5,4,1
447,5,1684,7,3,0
448,4,9809,7,2,0
449,4,7423,6,1,0
450,5,2843,7,3,0
451,4,3857,7,3,0
452,4,7422,5,1,0
453,4,8049,4,1,0
454,4,375,7,2,0
455,4,3514,5,3,0
