,Amount,From,To,Txn,Type,punk_id,amount_ethereum,amount_dollars
12834,"15Ξ ($28,696)",0x07c5ea,,"Feb 18, 2021",Bid Withdrawn,1472.0,15.0,28696.0
12836,"15Ξ ($28,745)",0x07c5ea,,"Feb 18, 2021",Bid,1472.0,15.0,28745.0
12837,"11.90Ξ ($22,805)",0xe369a8,,"Feb 18, 2021",Bid,1472.0,11.9,22805.0
12838,0.09Ξ ($41),0x89ba62,,"Jun 30, 2018",Bid Withdrawn,1472.0,0.09,41.0
12839,0.09Ξ ($90),0x89ba62,,"Jan 22, 2018",Bid,1472.0,0.09,90.0
12840,0.06Ξ ($61),jmg,,"Jan 17, 2018",Bid,1472.0,0.06,61.0
12841,0.20Ξ ($53),0x00bd3a,,"Jul 05, 2017",Bid Withdrawn,1472.0,0.2,53.0
12842,0.20Ξ ($54),0x00bd3a,,"Jul 04, 2017",Bid,1472.0,0.2,54.0
12843,0.20Ξ ($56),0x717403,,"Jun 30, 2017",Bid Withdrawn,1472.0,0.2,56.0
12844,0.20Ξ ($57),0x717403,,"Jun 27, 2017",Bid,1472.0,0.2,57.0
12845,0.20Ξ ($57),0x00bd3a,,"Jun 27, 2017",Bid,1472.0,0.2,57.0
12854,"14.50Ξ ($54,311)",kevallin…,,"May 13, 2021",Bid Withdrawn,1473.0,14.5,54311.0
12855,"14.50Ξ ($57,103)",kevallin…,,"May 13, 2021",Bid,1473.0,14.5,57103.0
12860,"20Ξ ($35,966)",wookie.e…,,"Mar 21, 2021",Bid Withdrawn,1473.0,20.0,35966.0
12861,"20Ξ ($36,076)",wookie.e…,,"Mar 21, 2021",Bid,1473.0,20.0,36076.0
12870,"2.02Ξ ($1,290)",Kr1pt0x,,"Dec 17, 2020",Bid Withdrawn,1473.0,2.02,1290.0
12873,"2.02Ξ ($1,162)",Kr1pt0x,,"Dec 09, 2020",Bid,1473.0,2.02,1162.0
12875,1Ξ ($588),Party,,"Dec 05, 2020",Bid Withdrawn,1473.0,1.0,588.0
12876,1Ξ ($590),Party,,"Dec 05, 2020",Bid,1473.0,1.0,590.0
12882,"32.50Ξ ($126,385)",0x7bf7b9,,"May 09, 2021",Bid Withdrawn,1474.0,32.5,126385.0
12884,"32.50Ξ ($71,127)",0x7bf7b9,,"Apr 24, 2021",Bid,1474.0,32.5,71127.0
12885,"25Ξ ($54,713)",0x7bf7b9,,"Apr 24, 2021",Bid Withdrawn,1474.0,25.0,54713.0
12887,"25Ξ ($60,250)",0x7bf7b9,,"Apr 16, 2021",Bid,1474.0,25.0,60250.0
12888,"31Ξ ($73,148)",0x67edd0,,"Apr 14, 2021",Bid Withdrawn,1474.0,31.0,73148.0
12889,"31Ξ ($70,125)",0x67edd0,,"Apr 13, 2021",Bid,1474.0,31.0,70125.0
12898,<0.01Ξ ($<0.01),0xc7c6b9,,"Dec 15, 2020",Bid,1474.0,0.01,0.01
12899,0.05Ξ ($42),0x34816b,,"Dec 21, 2017",Bid Withdrawn,1474.0,0.05,42.0
12901,0.05Ξ ($37),0x34816b,,"Dec 16, 2017",Bid,1474.0,0.05,37.0
12903,0.05Ξ ($34),jmg,,"Dec 15, 2017",Bid,1474.0,0.05,34.0
12907,"27Ξ ($50,599)",0xb16386,,"Jul 17, 2021",Bid Withdrawn,1475.0,27.0,50599.0
12908,"27Ξ ($50,599)",0xb16386,,"Jul 17, 2021",Bid,1475.0,27.0,50599.0
12909,"26.50Ξ ($51,620)",0x5aa688,,"Jul 16, 2021",Bid Withdrawn,1475.0,26.5,51620.0
12910,"26.50Ξ ($50,873)",0x5aa688,,"Jul 15, 2021",Bid,1475.0,26.5,50873.0
12913,"21.70Ξ ($43,157)",0x8e1c5f,,"Jun 25, 2021",Bid,1475.0,21.7,43157.0
12914,"20.40Ξ ($40,774)",0xe4446d,,"Jun 24, 2021",Bid Withdrawn,1475.0,20.4,40774.0
12915,"20.40Ξ ($40,774)",0xe4446d,,"Jun 24, 2021",Bid,1475.0,20.4,40774.0
12922,"18Ξ ($34,468)",mnemonic…,,"Jun 22, 2021",Bid Withdrawn,1475.0,18.0,34468.0
