,Amount,From,To,Txn,Type,punk_id
0,0.30Ξ ($67),0xa9bfa9,0x717403,"Aug 03, 2017",Sold,5000.0
1,0.30Ξ ($80),0x717403,,"Jul 05, 2017",Bid,5000.0
2,0.30Ξ ($81),0xa0a59c,,"Jul 04, 2017",Bid,5000.0
3,0.06Ξ ($16),0x717403,,"Jul 04, 2017",Bid Withdrawn,5000.0
4,0.06Ξ ($15),0x717403,,"Jun 26, 2017",Bid,5000.0
5,0.06Ξ ($15),0x9be1c7,,"Jun 26, 2017",Bid,5000.0
6,,,0xa9bfa9,"Jun 23, 2017",Claimed,5000.0
7,,0x7e5280,0x0601d0,"Jun 05, 2019",Transfer,5001.0
8,,0xd27e3f,0x7e5280,"Oct 04, 2017",Transfer,5001.0
9,0.50Ξ ($150),0xc352b5,,"Sep 10, 2017",Bid Withdrawn,5001.0
10,1.20Ξ ($247),Zieg,0xd27e3f,"Jul 29, 2017",Sold,5001.0
11,1.20Ξ ($247),,,"Jul 29, 2017",Offered,5001.0
12,1.90Ξ ($387),,,"Jul 25, 2017",Offered,5001.0
13,0.50Ξ ($108),0xc352b5,,"Jul 21, 2017",Bid,5001.0
14,1.60Ξ ($362),,,"Jul 20, 2017",Offered,5001.0
15,,,,"Jul 19, 2017",Offer Withdrawn,5001.0
16,1.90Ξ ($431),,,"Jul 18, 2017",Offered,5001.0
17,0.05Ξ ($13),0x717403,,"Jun 26, 2017",Bid,5001.0
18,,,Zieg,"Jun 23, 2017",Claimed,5001.0
19,,0xd0d05e,0x18e804,"Jul 17, 2021",Transfer,5002.0
20,"205Ξ ($382,579)",FunBum69,0xd0d05e,"Jul 17, 2021",Sold,5002.0
21,"205Ξ ($382,579)",0xd0d05e,,"Jul 17, 2021",Bid,5002.0
22,"204Ξ ($380,713)",0xd0d05e,,"Jul 17, 2021",Bid Withdrawn,5002.0
23,"215Ξ ($400,723)",,,"Jul 17, 2021",Offered,5002.0
24,"204Ξ ($381,717)",0xd0d05e,,"Jul 17, 2021",Bid,5002.0
25,"184Ξ ($344,293)",0xd0d05e,,"Jul 17, 2021",Bid Withdrawn,5002.0
26,"184Ξ ($349,843)",0xd0d05e,,"Jul 16, 2021",Bid,5002.0
27,"235Ξ ($437,079)",,,"Jul 16, 2021",Offered,5002.0
28,"240Ξ ($461,628)",,,"Jul 15, 2021",Offered,5002.0
29,"120Ξ ($229,343)",0x023ef7,,"Jul 15, 2021",Bid Withdrawn,5002.0
30,"245Ξ ($471,329)",,,"Jul 15, 2021",Offered,5002.0
31,"255Ξ ($489,182)",,,"Jul 15, 2021",Offered,5002.0
32,"259Ξ ($485,521)",,,"Jul 14, 2021",Offered,5002.0
33,"120Ξ ($226,855)",0x023ef7,,"Jul 14, 2021",Bid,5002.0
34,"269Ξ ($508,534)",,,"Jul 14, 2021",Offered,5002.0
35,"295Ξ ($563,441)",,,"Jul 14, 2021",Offered,5002.0
36,"345.67Ξ ($689,204)",,,"Jul 13, 2021",Offered,5002.0
37,"385Ξ ($808,361)",,,"Jul 12, 2021",Offered,5002.0
38,"420Ξ ($889,736)",,,"Jul 03, 2021",Offered,5002.0
39,,,,"Jun 09, 2021",Offer Withdrawn,5002.0
40,9KΞ ($31.08M),,,"May 07, 2021",Offered,5002.0
41,6.9KΞ ($14.71M),,,"Apr 20, 2021",Offered,5002.0
42,4.2KΞ ($7.54M),,,"Mar 21, 2021",Offered,5002.0
43,1.5KΞ ($2.71M),,,"Mar 12, 2021",Offered,5002.0
44,840Ξ ($1.49M),,,"Mar 11, 2021",Offered,5002.0
45,"500.20Ξ ($765,856)",,,"Mar 05, 2021",Offered,5002.0
46,840Ξ ($1.16M),,,"Feb 28, 2021",Offered,5002.0
47,950Ξ ($1.55M),,,"Feb 25, 2021",Offered,5002.0
48,,,,"Feb 22, 2021",Offer Withdrawn,5002.0
49,600Ξ ($1.17M),,,"Feb 19, 2021",Offered,5002.0
50,"420Ξ ($775,480)",,,"Feb 13, 2021",Offered,5002.0
51,"375Ξ ($484,781)",,,"Jan 24, 2021",Offered,5002.0
52,,,,"Jan 11, 2021",Offer Withdrawn,5002.0
53,"375Ξ ($452,100)",,,"Jan 08, 2021",Offered,5002.0
54,"250Ξ ($87,710)",,,"Oct 08, 2020",Offered,5002.0
55,,BumFun69,FunBum69,"Jun 01, 2020",Transfer,5002.0
56,"49Ξ ($11,542)",0x4960c4…,BumFun69,"Jun 01, 2020",Sold,5002.0
57,"12Ξ ($2,491)",TokenAng…,,"May 23, 2020",Bid Withdrawn,5002.0
58,"12Ξ ($2,419)",TokenAng…,,"May 22, 2020",Bid,5002.0
59,"49Ξ ($10,458)",,,"May 20, 2020",Offered,5002.0
60,"5Ξ ($1,067)",TokenAng…,,"May 07, 2020",Bid Withdrawn,5002.0
61,"5Ξ ($1,039)",TokenAng…,,"May 06, 2020",Bid,5002.0
62,4.40Ξ ($776),EliteCat…,,"Oct 01, 2019",Bid Withdrawn,5002.0
63,4.40Ξ ($766),EliteCat…,,"Sep 28, 2019",Bid,5002.0
64,,,,"Dec 03, 2018",Offer Withdrawn,5002.0
65,"9Ξ ($7,783)",,,"Mar 04, 2018",Offered,5002.0
66,0.26Ξ ($88),0x8ba3e2,0x4960c4…,"Oct 13, 2017",Sold,5002.0
67,0.26Ξ ($88),,,"Oct 13, 2017",Offered,5002.0
68,0.26Ξ ($88),,,"Oct 13, 2017",Offered,5002.0
69,0.28Ξ ($85),,,"Oct 11, 2017",Offered,5002.0
70,0.30Ξ ($91),,,"Oct 11, 2017",Offered,5002.0
71,,0xc0f5dd,0x8ba3e2,"Oct 09, 2017",Transfer,5002.0
72,,,,"Sep 26, 2017",Offer Withdrawn,5002.0
73,0.50Ξ ($142),,,"Sep 19, 2017",Offered,5002.0
74,0.05Ξ ($14),0x717403,,"Jun 25, 2017",Bid,5002.0
75,,,0xc0f5dd,"Jun 23, 2017",Claimed,5002.0
76,,sov,sov.eth,"Apr 25, 2021",Transfer,5003.0
77,,,sov,"Jun 23, 2017",Claimed,5003.0
78,"100Ξ ($215,863)",,,"Jun 30, 2021",Offered,5004.0
79,"25Ξ ($45,716)",0xa5c80b,droscott…,"Feb 22, 2021",Sold,5004.0
80,"25Ξ ($47,688)",,,"Feb 18, 2021",Offered,5004.0
81,"5.95Ξ ($4,384)",0x4960c4…,0xa5c80b,"Dec 31, 2020",Sold,5004.0
82,"5.25Ξ ($3,868)",0xa5c80b,,"Dec 31, 2020",Bid Withdrawn,5004.0
83,"5.25Ξ ($3,883)",0xa5c80b,,"Dec 30, 2020",Bid,5004.0
84,"4.75Ξ ($3,084)",0xc155f9,,"Dec 27, 2020",Bid,5004.0
85,"5.95Ξ ($3,738)",,,"Dec 26, 2020",Offered,5004.0
86,"4Ξ ($2,452)",0x4fa27c,,"Dec 23, 2020",Bid Withdrawn,5004.0
87,"4Ξ ($2,452)",0x4fa27c,,"Dec 23, 2020",Bid,5004.0
88,0.84Ξ ($327),ChrisR,0x4960c4…,"Aug 05, 2020",Sold,5004.0
89,0.84Ξ ($327),,,"Aug 05, 2020",Offered,5004.0
90,,Pranksy,ChrisR,"Jul 02, 2020",Transfer,5004.0
91,1.25Ξ ($303),,,"Jun 23, 2020",Offered,5004.0
92,1.79Ξ ($365),,,"May 26, 2020",Offered,5004.0
93,1.49Ξ ($298),,,"May 15, 2020",Offered,5004.0
94,1Ξ ($209),,,"Aug 13, 2019",Offered,5004.0
95,0.25Ξ ($53),0x00d7c9,Pranksy,"Aug 12, 2019",Sold,5004.0
96,0.25Ξ ($53),,,"Aug 12, 2019",Offered,5004.0
97,0.50Ξ ($138),,,"Jul 12, 2019",Offered,5004.0
98,"4Ξ ($1,074)",,,"Jun 16, 2019",Offered,5004.0
99,0.70Ξ ($120),,,"Apr 22, 2019",Offered,5004.0
100,,,0x00d7c9,"Jun 23, 2017",Claimed,5004.0
101,,0xe5545c,0xdb9187,"May 09, 2021",Transfer,5005.0
102,,0x7fdc01,0xe5545c,"May 07, 2021",Transfer,5005.0
103,,0x1e243e,0x7fdc01,"Feb 19, 2021",Transfer,5005.0
104,"14.99Ξ ($28,779)",Carlini8,0x1e243e,"Feb 19, 2021",Sold,5005.0
105,"14.99Ξ ($27,666)",,,"Feb 17, 2021",Offered,5005.0
106,"15Ξ ($25,644)",,,"Feb 15, 2021",Offered,5005.0
107,"12.50Ξ ($21,370)",0xa3cb30,Carlini8,"Feb 15, 2021",Sold,5005.0
108,"12.50Ξ ($14,211)",,,"Jan 15, 2021",Offered,5005.0
109,"8.10Ξ ($2,859)",,,"Oct 06, 2020",Offered,5005.0
110,,0x00bd9f,0xa3cb30,"Mar 07, 2018",Transfer,5005.0
111,,,0x00bd9f,"Jun 23, 2017",Claimed,5005.0
112,"17Ξ ($31,340)",0x889233,,"Mar 30, 2021",Bid Withdrawn,5006.0
113,"17Ξ ($31,340)",0x889233,,"Mar 30, 2021",Bid,5006.0
114,"19.99Ξ ($36,853)",0xa3cb30,0xfc80c3,"Mar 30, 2021",Sold,5006.0
115,"18Ξ ($33,184)",0x889233,,"Mar 30, 2021",Bid Withdrawn,5006.0
116,"18Ξ ($33,184)",0x889233,,"Mar 30, 2021",Bid,5006.0
117,"19.99Ξ ($36,712)",,,"Mar 30, 2021",Offered,5006.0
118,"21.50Ξ ($36,613)",,,"Mar 29, 2021",Offered,5006.0
119,"24.99Ξ ($43,018)",,,"Mar 28, 2021",Offered,5006.0
120,,,,"Mar 24, 2021",Offer Withdrawn,5006.0
121,"28.50Ξ ($51,125)",,,"Mar 21, 2021",Offered,5006.0
122,"31.99Ξ ($58,441)",,,"Mar 20, 2021",Offered,5006.0
123,,0x00bd9f,0xa3cb30,"Mar 07, 2018",Transfer,5006.0
124,,,0x00bd9f,"Jun 23, 2017",Claimed,5006.0
125,0.32Ξ ($88),0x00bd9f,0x7760e0,"Jul 03, 2017",Sold,5007.0
126,0.32Ξ ($91),,,"Jul 02, 2017",Offered,5007.0
127,,,0x00bd9f,"Jun 23, 2017",Claimed,5007.0
128,"79.99Ξ ($171,487)",,,"Jul 12, 2021",Offered,5008.0
129,"69.69Ξ ($237,439)",,,"May 18, 2021",Offered,5008.0
130,"74.99Ξ ($291,974)",,,"May 09, 2021",Offered,5008.0
131,"89.99Ξ ($275,010)",,,"May 03, 2021",Offered,5008.0
132,"99.99Ξ ($191,257)",,,"Mar 13, 2021",Offered,5008.0
133,,,,"Mar 11, 2021",Offer Withdrawn,5008.0
134,"54.99Ξ ($100,912)",,,"Mar 09, 2021",Offered,5008.0
135,"54.99Ξ ($100,912)",,,"Mar 09, 2021",Offered,5008.0
136,,,,"Mar 05, 2021",Offer Withdrawn,5008.0
137,"59.99Ξ ($87,472)",,,"Mar 05, 2021",Offered,5008.0
138,"64.99Ξ ($103,807)",,,"Mar 03, 2021",Offered,5008.0
139,"75Ξ ($113,894)",,,"Mar 03, 2021",Offered,5008.0
140,"8Ξ ($11,458)",0x577ebc,0x8bb4f3,"Feb 02, 2021",Sold,5008.0
141,"8Ξ ($11,458)",0x8bb4f3,,"Feb 02, 2021",Bid,5008.0
142,,0xcbd482,0x577ebc,"Jan 30, 2021",Transfer,5008.0
143,0.55Ξ ($673),0x0edc85,,"Jan 18, 2021",Bid Withdrawn,5008.0
144,0.55Ξ ($679),0x0edc85,,"Jan 17, 2021",Bid,5008.0
145,0.50Ξ ($617),0x0cf8e9,,"Jan 17, 2021",Bid,5008.0
146,0.50Ξ ($126),AZonneve…,,"Jun 02, 2020",Bid Withdrawn,5008.0
147,0.50Ξ ($106),AZonneve…,,"May 20, 2020",Bid,5008.0
148,0.05Ξ ($14),0x7760e0,,"Jul 02, 2017",Bid,5008.0
149,,,0xcbd482,"Jun 23, 2017",Claimed,5008.0
150,"33.10Ξ ($142,659)",,,"May 12, 2021",Offered,5009.0
151,"22Ξ ($36,436)",0xff0bd4,,"Feb 25, 2021",Bid Withdrawn,5009.0
152,"22Ξ ($39,235)",0xff0bd4,,"Feb 22, 2021",Bid,5009.0
153,"21Ξ ($40,592)",0xb74f01,,"Feb 21, 2021",Bid,5009.0
154,"66.20Ξ ($125,855)",,,"Feb 18, 2021",Offered,5009.0
155,"33.10Ξ ($45,721)",,,"Jan 29, 2021",Offered,5009.0
156,0.10Ξ ($28),0x7760e0,,"Jul 02, 2017",Bid,5009.0
157,0.10Ξ ($26),0x00bd3a,,"Jul 01, 2017",Bid,5009.0
158,,,0xb38071,"Jun 23, 2017",Claimed,5009.0
159,"37.99Ξ ($144,979)",,,"May 15, 2021",Offered,5010.0
160,"8Ξ ($2,906)",0xa3cb30,jmg,"Oct 09, 2020",Sold,5010.0
161,"45Ξ ($15,232)",,,"Oct 08, 2020",Offered,5010.0
162,"8Ξ ($2,729)",jmg,,"Oct 08, 2020",Bid,5010.0
163,"11.11Ξ ($3,766)",,,"Oct 07, 2020",Offered,5010.0
164,"6.50Ξ ($2,218)",0x0553de,,"Oct 06, 2020",Bid,5010.0
165,,0x00bd9f,0xa3cb30,"Mar 07, 2018",Transfer,5010.0
166,0.05Ξ ($15),0x717403,,"Jun 29, 2017",Bid Withdrawn,5010.0
167,0.05Ξ ($14),0x717403,,"Jun 25, 2017",Bid,5010.0
168,,,0x00bd9f,"Jun 23, 2017",Claimed,5010.0
169,"30Ξ ($89,687)",,,"May 03, 2021",Offered,5011.0
170,"29Ξ ($46,716)",0x84c920,0xb5b84e,"Feb 24, 2021",Sold,5011.0
171,"25Ξ ($40,273)",0xb5b84e,,"Feb 24, 2021",Bid Withdrawn,5011.0
172,"29Ξ ($47,818)",,,"Feb 24, 2021",Offered,5011.0
173,"25Ξ ($40,298)",0xb5b84e,,"Feb 24, 2021",Bid,5011.0
174,"32Ξ ($49,261)",,,"Feb 23, 2021",Offered,5011.0
175,"19Ξ ($37,123)",CPyrc,0x84c920,"Feb 21, 2021",Sold,5011.0
176,"19Ξ ($37,228)",,,"Feb 21, 2021",Offered,5011.0
177,"15Ξ ($29,389)",0xb5b84e,,"Feb 20, 2021",Bid Withdrawn,5011.0
178,"15Ξ ($29,170)",0xb5b84e,,"Feb 20, 2021",Bid,5011.0
179,"17Ξ ($33,436)",,,"Feb 19, 2021",Offered,5011.0
180,"18.50Ξ ($34,144)",,,"Feb 17, 2021",Offered,5011.0
181,"13.40Ξ ($24,731)",Theodora,CPyrc,"Feb 17, 2021",Sold,5011.0
182,"13.40Ξ ($24,731)",,,"Feb 17, 2021",Offered,5011.0
183,0.95Ξ ($330),Michel_M…,Theodora,"Sep 06, 2020",Sold,5011.0
184,0.95Ξ ($364),,,"Sep 04, 2020",Offered,5011.0
185,1.05Ξ ($410),,,"Aug 28, 2020",Offered,5011.0
186,1.15Ξ ($438),,,"Aug 27, 2020",Offered,5011.0
187,,,,"Aug 14, 2020",Offer Withdrawn,5011.0
188,1.49Ξ ($565),,,"Aug 01, 2020",Offered,5011.0
189,1.99Ξ ($632),,,"Jul 28, 2020",Offered,5011.0
190,1Ξ ($317),_K_A_M_I…,Michel_M…,"Jul 28, 2020",Sold,5011.0
191,1Ξ ($317),Michel_M…,,"Jul 28, 2020",Bid,5011.0
192,1.44Ξ ($457),,,"Jul 28, 2020",Offered,5011.0
193,0.90Ξ ($286),Michel_M…,,"Jul 28, 2020",Bid Withdrawn,5011.0
194,0.90Ξ ($286),Michel_M…,,"Jul 28, 2020",Bid,5011.0
195,1.88Ξ ($599),,,"Jul 28, 2020",Offered,5011.0
196,2.50Ξ ($592),,,"Jul 21, 2020",Offered,5011.0
197,,,,"Jun 08, 2020",Offer Withdrawn,5011.0
198,2.75Ξ ($666),,,"Jun 03, 2020",Offered,5011.0
199,3Ξ ($719),,,"Jun 03, 2020",Offered,5011.0
200,"5Ξ ($1,235)",,,"Jun 02, 2020",Offered,5011.0
201,2.50Ξ ($591),,,"Jun 01, 2020",Offered,5011.0
202,2.90Ξ ($683),,,"Jun 01, 2020",Offered,5011.0
203,2.30Ξ ($550),,,"May 31, 2020",Offered,5011.0
204,2.40Ξ ($527),,,"May 30, 2020",Offered,5011.0
205,2.75Ξ ($605),,,"May 29, 2020",Offered,5011.0
206,3Ξ ($664),,,"May 29, 2020",Offered,5011.0
207,2.55Ξ ($565),,,"May 29, 2020",Offered,5011.0
208,3.33Ξ ($743),,,"May 29, 2020",Offered,5011.0
209,2.75Ξ ($565),,,"May 28, 2020",Offered,5011.0
210,2.20Ξ ($452),TweetyPi…,_K_A_M_I…,"May 28, 2020",Sold,5011.0
211,2.20Ξ ($446),,,"May 27, 2020",Offered,5011.0
212,1.75Ξ ($355),Hemba,TweetyPi…,"May 27, 2020",Sold,5011.0
213,1.20Ξ ($244),Pranksy,,"May 26, 2020",Bid Withdrawn,5011.0
214,1.20Ξ ($245),Pranksy,,"May 26, 2020",Bid,5011.0
215,1.75Ξ ($357),,,"May 25, 2020",Offered,5011.0
216,1.45Ξ ($250),,,"Jan 19, 2020",Offered,5011.0
217,,0xe4d36b,Hemba,"Jun 28, 2017",Transfer,5011.0
218,,,0xe4d36b,"Jun 23, 2017",Claimed,5011.0
219,,0x292d76,0x68a7ac,"Jan 14, 2021",Transfer,5012.0
220,"5Ξ ($5,501)",0x2fdacd,0x292d76,"Jan 13, 2021",Sold,5012.0
221,"5Ξ ($5,528)",0x292d76,,"Jan 13, 2021",Bid,5012.0
222,"4.60Ξ ($5,073)",TweetyPi…,,"Jan 13, 2021",Bid,5012.0
223,"3Ξ ($3,308)",redlione…,,"Jan 13, 2021",Bid,5012.0
224,,,0x2fdacd,"Jun 23, 2017",Claimed,5012.0
225,"7Ξ ($9,138)",0xf1b658,0xc72aed,"Jan 20, 2021",Sold,5014.0
226,"7Ξ ($9,318)",,,"Jan 19, 2021",Offered,5014.0
227,"6.20Ξ ($7,676)",,,"Jan 18, 2021",Offered,5014.0
228,,,,"Jan 18, 2021",Offer Withdrawn,5014.0
229,"6.25Ξ ($7,625)",,,"Jan 17, 2021",Offered,5014.0
230,,,,"Jan 16, 2021",Offer Withdrawn,5014.0
231,"7.70Ξ ($9,007)",,,"Jan 15, 2021",Offered,5014.0
232,"7.49Ξ ($9,110)",,,"Jan 15, 2021",Offered,5014.0
233,"8.49Ξ ($10,117)",,,"Jan 14, 2021",Offered,5014.0
234,,comicdao…,0xf1b658,"Jan 13, 2021",Transfer,5014.0
235,"6Ξ ($6,616)",0x2fdacd,comicdao…,"Jan 13, 2021",Sold,5014.0
236,"6Ξ ($6,616)",comicdao…,,"Jan 13, 2021",Bid,5014.0
237,"5.50Ξ ($6,065)",Party,,"Jan 13, 2021",Bid,5014.0
238,"5Ξ ($5,368)",comicdao…,,"Jan 13, 2021",Bid Withdrawn,5014.0
239,"10Ξ ($10,736)",,,"Jan 13, 2021",Offered,5014.0
240,"5Ξ ($5,368)",comicdao…,,"Jan 13, 2021",Bid,5014.0
241,,,0x2fdacd,"Jun 23, 2017",Claimed,5014.0
242,,0xcbd482,0x577ebc,"Jan 30, 2021",Transfer,5015.0
243,"2Ξ ($2,519)",0x5554a0,,"Jan 23, 2021",Bid Withdrawn,5015.0
244,"2Ξ ($2,469)",0x5554a0,,"Jan 17, 2021",Bid,5015.0
245,"3Ξ ($3,562)",Party,,"Jan 07, 2021",Bid Withdrawn,5015.0
246,"3Ξ ($3,590)",Party,,"Jan 07, 2021",Bid,5015.0
247,,,0xcbd482,"Jun 23, 2017",Claimed,5015.0
248,,,,"Apr 21, 2021",Offer Withdrawn,5016.0
249,"100Ξ ($223,885)",,,"Apr 19, 2021",Offered,5016.0
250,,,,"Apr 01, 2021",Offer Withdrawn,5016.0
251,"337.37Ξ ($609,668)",,,"Mar 29, 2021",Offered,5016.0
252,"137.37Ξ ($233,098)",,,"Mar 23, 2021",Offered,5016.0
253,"73.37Ξ ($125,059)",,,"Mar 23, 2021",Offered,5016.0
254,"55.37Ξ ($94,378)",,,"Mar 23, 2021",Offered,5016.0
255,,,,"Mar 19, 2021",Offer Withdrawn,5016.0
256,"137.37Ξ ($245,093)",,,"Mar 18, 2021",Offered,5016.0
257,"100Ξ ($177,969)",,,"Mar 18, 2021",Offered,5016.0
258,,,,"Mar 12, 2021",Offer Withdrawn,5016.0
259,"237Ξ ($412,754)",,,"Mar 12, 2021",Offered,5016.0
260,"137Ξ ($244,087)",,,"Mar 11, 2021",Offered,5016.0
261,"100Ξ ($180,147)",,,"Mar 11, 2021",Offered,5016.0
262,,,0x19f233,"Jun 23, 2017",Claimed,5016.0
263,"23.20Ξ ($50,127)",,,"Jul 08, 2021",Offered,5017.0
264,"24.20Ξ ($50,510)",,,"Jun 28, 2021",Offered,5017.0
265,,,,"May 12, 2021",Offer Withdrawn,5017.0
266,"21.50Ξ ($84,770)",,,"May 10, 2021",Offered,5017.0
267,"23.90Ξ ($83,283)",,,"May 06, 2021",Offered,5017.0
268,"24.45Ξ ($82,555)",,,"May 04, 2021",Offered,5017.0
269,,,,"May 03, 2021",Offer Withdrawn,5017.0
270,,,,"May 03, 2021",Offer Withdrawn,5017.0
271,"25Ξ ($71,828)",,,"May 01, 2021",Offered,5017.0
272,"22.97Ξ ($62,702)",0xa6e2e9,0xd94be5,"Apr 28, 2021",Sold,5017.0
273,"22.97Ξ ($62,702)",,,"Apr 28, 2021",Offered,5017.0
274,"24.97Ξ ($57,911)",,,"Apr 24, 2021",Offered,5017.0
275,,,0xa6e2e9,"Jun 23, 2017",Claimed,5017.0
276,"14.88Ξ ($29,357)",0x13816f,0x0e6167,"Feb 21, 2021",Sold,5018.0
277,"14.88Ξ ($28,466)",,,"Feb 18, 2021",Offered,5018.0
278,,WrappedC…,0x13816f,"Feb 18, 2021",(Unwrap),5018.0
279,"3.60Ξ ($1,284)",Loopify,0x13816f,"Sep 28, 2020",Sold,5018.0
280,"3.15Ξ ($1,110)",0x3ba9cd,Loopify,"Sep 27, 2020",Sold,5018.0
281,2Ξ ($679),Carlini8,0x3ba9cd,"Sep 23, 2020",Sold,5018.0
282,,0xaadfe3,WrappedC…,"Sep 15, 2020",(Wrap),5018.0
283,,Carlini8,0xaadfe3,"Sep 15, 2020",Transfer,5018.0
284,1.45Ξ ($545),Hemba,Carlini8,"Sep 14, 2020",Sold,5018.0
285,1.45Ξ ($320),,,"May 29, 2020",Offered,5018.0
286,,,Hemba,"Jun 23, 2017",Claimed,5018.0
287,<0.01Ξ ($0),0x06a993,,"Mar 06, 2021",Bid,5019.0
288,,dclwande…,0x0f08f5,"Jan 28, 2021",Transfer,5019.0
289,<0.01Ξ ($<0.01),0xc7c6b9,,"Dec 15, 2020",Bid,5019.0
290,1Ξ ($391),0x34e801,,"Oct 29, 2020",Bid Withdrawn,5019.0
291,1Ξ ($368),0x34e801,,"Oct 20, 2020",Bid,5019.0
292,0.27Ξ ($225),0xb0b0b5,dclwande…,"Feb 24, 2018",Sold,5019.0
293,0.27Ξ ($82),,,"Sep 28, 2017",Offered,5019.0
294,,,0xb0b0b5,"Jun 23, 2017",Claimed,5019.0
295,"14.99Ξ ($37,113)",sartoshi…,0x5743e4,"May 22, 2021",Sold,5020.0
296,"14.99Ξ ($36,700)",,,"May 21, 2021",Offered,5020.0
297,"15.25Ξ ($43,119)",,,"May 20, 2021",Offered,5020.0
298,"15.75Ξ ($43,109)",,,"May 20, 2021",Offered,5020.0
299,"16.50Ξ ($48,721)",,,"May 20, 2021",Offered,5020.0
300,"13Ξ ($34,777)",0xdc81d9,,"May 20, 2021",Bid Withdrawn,5020.0
301,"13.75Ξ ($36,783)",0xb34860,sartoshi…,"May 20, 2021",Sold,5020.0
302,"13Ξ ($35,044)",0xdc81d9,,"May 20, 2021",Bid,5020.0
303,"13.75Ξ ($35,580)",,,"May 20, 2021",Offered,5020.0
304,,WrappedC…,0xb34860,"May 20, 2021",(Unwrap),5020.0
305,,0x691adb,WrappedC…,"May 03, 2021",(Wrap),5020.0
306,,0x4f63c2,0x691adb,"May 03, 2021",Transfer,5020.0
307,"22.50Ξ ($73,350)",,,"May 03, 2021",Offered,5020.0
308,,WrappedC…,0x4f63c2,"May 03, 2021",(Unwrap),5020.0
309,,0x7cd45f,WrappedC…,"May 03, 2021",(Wrap),5020.0
310,,0xe85740,0x7cd45f,"May 03, 2021",Transfer,5020.0
311,,WrappedC…,0xe85740,"May 03, 2021",(Unwrap),5020.0
312,,0xeb0a8f,WrappedC…,"Apr 14, 2021",(Wrap),5020.0
313,,0x62bdc6,0xeb0a8f,"Apr 14, 2021",Transfer,5020.0
314,"20.47Ξ ($46,958)",,,"Apr 14, 2021",Offered,5020.0
315,"20.97Ξ ($48,207)",,,"Apr 14, 2021",Offered,5020.0
316,"21.47Ξ ($49,357)",,,"Apr 14, 2021",Offered,5020.0
317,"21.97Ξ ($50,596)",,,"Apr 14, 2021",Offered,5020.0
318,,WrappedC…,0x62bdc6,"Apr 14, 2021",(Unwrap),5020.0
319,,0x840aad,WrappedC…,"Sep 29, 2020",(Wrap),5020.0
320,,0x568cf5,0x840aad,"Sep 29, 2020",Transfer,5020.0
321,"5.70Ξ ($2,016)",NeonNFT,0x568cf5,"Sep 29, 2020",Sold,5020.0
322,"5.70Ξ ($2,009)",,,"Sep 29, 2020",Offered,5020.0
323,"5.74Ξ ($2,036)",,,"Sep 29, 2020",Offered,5020.0
324,"5.40Ξ ($1,915)",0x69405f,NeonNFT,"Sep 29, 2020",Sold,5020.0
325,,WrappedC…,NeonNFT,"Sep 29, 2020",(Unwrap),5020.0
326,"5.30Ξ ($1,880)",0x7c18fd,0x69405f,"Sep 29, 2020",Sold,5020.0
327,"5.25Ξ ($1,904)",0x3ba9cd,0x7c18fd,"Sep 28, 2020",Sold,5020.0
328,2Ξ ($679),Carlini8,0x3ba9cd,"Sep 23, 2020",Sold,5020.0
329,,0xaadfe3,WrappedC…,"Sep 15, 2020",(Wrap),5020.0
330,,Carlini8,0xaadfe3,"Sep 15, 2020",Transfer,5020.0
331,1.37Ξ ($515),0x4322d6,Carlini8,"Sep 14, 2020",Sold,5020.0
332,1.37Ξ ($503),,,"Sep 14, 2020",Offered,5020.0
333,0.18Ξ ($17),0xb0b0b5,0x4322d6,"Dec 07, 2018",Sold,5020.0
334,0.18Ξ ($54),,,"Sep 28, 2017",Offered,5020.0
335,,,0xb0b0b5,"Jun 23, 2017",Claimed,5020.0
336,"4.59Ξ ($5,141)",0x387405,0x393708,"Jan 11, 2021",Sold,5021.0
337,"4.59Ξ ($5,817)",,,"Jan 09, 2021",Offered,5021.0
338,,,0x387405,"Jun 23, 2017",Claimed,5021.0
339,0.90Ξ ($322),Hemba,Snowfro,"Sep 06, 2020",Sold,5022.0
340,0.90Ξ ($364),,,"Aug 29, 2020",Offered,5022.0
341,,,Hemba,"Jun 23, 2017",Claimed,5022.0
342,0.06Ξ ($82),Michel_M…,,"Jan 12, 2018",Bid Withdrawn,5023.0
343,0.08Ξ ($91),Hemba,0x7f6ca7,"Jan 11, 2018",Sold,5023.0
344,0.06Ξ ($74),Michel_M…,,"Jan 11, 2018",Bid,5023.0
345,0.08Ξ ($91),,,"Jan 11, 2018",Offered,5023.0
346,,,Hemba,"Jun 23, 2017",Claimed,5023.0
347,"24Ξ ($48,342)",thecitad…,,"Jul 13, 2021",Bid Withdrawn,5025.0
348,"24Ξ ($51,380)",thecitad…,,"Jul 11, 2021",Bid,5025.0
349,"30Ξ ($77,916)",,,"Jun 02, 2021",Offered,5025.0
350,,,0xf1ad94,"Jun 23, 2017",Claimed,5025.0
351,,0x22160e,0x00b278,"Jul 18, 2017",Transfer,5026.0
352,1.78Ξ ($339),,,"Jul 11, 2017",Offered,5026.0
353,0.05Ξ ($15),0x7760e0,,"Jun 29, 2017",Bid,5026.0
354,0.05Ξ ($15),0xa0a59c,,"Jun 29, 2017",Bid,5026.0
355,,,0x22160e,"Jun 23, 2017",Claimed,5026.0
