,id,amount_ethereum,amount_dollars,transaction_date
0,6000,19Ξ,"($33,581)","Mar 29, 2021"
1,6002,39.99Ξ,"($68,165)","Mar 23, 2021"
2,6002,37Ξ,"($66,980)","Mar 21, 2021"
3,6003,24.50Ξ,"($77,650)","May 03, 2021"
4,6007,1.35Ξ,($269),"May 26, 2020"
5,6007,0.65Ξ,($105),"Jan 23, 2020"
6,6007,0.40Ξ,($118),"Jun 21, 2019"
7,6008,19.50Ξ,"($46,256)","Apr 16, 2021"
8,6008,3.10Ξ,"($1,091)","Sep 27, 2020"
9,6008,2.95Ξ,"($1,047)","Sep 26, 2020"
10,6008,2.90Ξ,"($1,018)","Sep 24, 2020"
11,6008,2.50Ξ,($865),"Sep 24, 2020"
12,6008,0.40Ξ,($118),"Jun 21, 2019"
13,6009,0.25Ξ,($45),"Sep 03, 2019"
14,6010,29.90Ξ,"($44,911)","Feb 27, 2021"
15,6010,13.49Ξ,"($23,558)","Feb 17, 2021"
16,6010,7.10Ξ,"($7,829)","Jan 13, 2021"
17,6011,0.33Ξ,($109),"Aug 25, 2017"
18,6011,0.22Ξ,($44),"Jul 10, 2017"
19,6012,39Ξ,"($83,791)","Jul 12, 2021"
20,6012,32Ξ,"($74,227)","Jul 06, 2021"
21,6012,34Ξ,"($110,839)","May 03, 2021"
22,6012,32Ξ,"($66,925)","Apr 09, 2021"
23,6012,19Ξ,"($36,222)","Feb 18, 2021"
24,6012,10.50Ξ,"($18,954)","Feb 13, 2021"
25,6012,10Ξ,"($11,027)","Jan 13, 2021"
26,6014,40Ξ,"($84,858)","Apr 06, 2021"
27,6015,0.15Ξ,($113),"May 07, 2018"
28,6016,30Ξ,"($46,942)","Feb 23, 2021"
29,6016,0.60Ξ,($80),"Jan 04, 2020"
30,6016,0.40Ξ,($118),"Jun 21, 2019"
31,6020,0.08Ξ,($55),"Dec 15, 2017"
32,6021,17Ξ,"($35,055)","Apr 05, 2021"
33,6022,20Ξ,"($30,374)","Mar 05, 2021"
34,6022,0.45Ξ,($78),"May 06, 2019"
35,6023,0.50Ξ,($103),"Jul 10, 2017"
36,6024,2Ξ,($408),"May 25, 2020"
37,6024,0.55Ξ,($107),"Mar 09, 2020"
38,6024,0.40Ξ,($118),"Jun 21, 2019"
39,6026,1.99Ξ,($743),"Sep 14, 2020"
40,6026,0.39Ξ,($104),"Jul 06, 2017"
41,6027,0.90Ξ,($266),"Sep 02, 2018"
42,6028,21Ξ,"($28,565)","Feb 28, 2021"
43,6029,0.35Ξ,($94),"Jul 04, 2017"
44,6030,35Ξ,"($68,662)","Feb 21, 2021"
45,6030,12.50Ξ,"($4,430)","Sep 29, 2020"
46,6030,0.59Ξ,($122),"Jul 10, 2017"
47,6030,0.35Ξ,($99),"Jul 02, 2017"
48,6031,0.42Ξ,($57),"Mar 21, 2019"
49,6032,33.66Ξ,"($72,658)","Apr 19, 2021"
50,6032,15Ξ,"($29,045)","Feb 18, 2021"
51,6034,50.34Ξ,"($81,034)","Mar 03, 2021"
52,6034,15Ξ,"($26,097)","Feb 17, 2021"
53,6035,21.10Ξ,"($38,134)","Mar 12, 2021"
54,6035,17.04Ξ,"($31,050)","Mar 09, 2021"
55,6036,34Ξ,"($66,430)","Feb 21, 2021"
56,6036,0.55Ξ,($79),"Dec 11, 2019"
57,6036,0.49Ξ,($92),"Nov 13, 2019"
58,6036,0.70Ξ,($97),"Mar 06, 2019"
59,6037,29.50Ξ,"($53,621)","Mar 18, 2021"
60,6039,0.24Ξ,($65),"Jul 03, 2017"
61,6043,139.36Ξ,"($547,845)","May 09, 2021"
62,6046,45Ξ,"($83,209)","Mar 31, 2021"
63,6047,33.33Ξ,"($105,636)","May 03, 2021"
64,6047,27Ξ,"($45,477)","Mar 22, 2021"
65,6047,22Ξ,"($42,525)","Feb 21, 2021"
66,6047,3Ξ,($702),"Jun 12, 2020"
67,6047,1.25Ξ,($160),"Dec 24, 2019"
68,6047,0.40Ξ,($118),"Jun 21, 2019"
69,6050,0.50Ξ,($67),"Jan 03, 2020"
70,6052,14.25Ξ,"($27,232)","Feb 19, 2021"
71,6052,7.50Ξ,"($13,693)","Feb 14, 2021"
72,6052,2.60Ξ,($907),"Sep 25, 2020"
73,6052,2Ξ,($768),"Sep 18, 2020"
74,6052,1.12Ξ,($229),"May 24, 2020"
75,6055,42Ξ,"($75,662)","Mar 11, 2021"
76,6056,28Ξ,"($59,443)","Jun 29, 2021"
77,6056,26Ξ,"($85,691)","May 17, 2021"
78,6056,16Ξ,"($61,927)","May 14, 2021"
79,6057,24.50Ξ,"($54,756)","Jul 06, 2021"
80,6058,9Ξ,"($15,907)","Feb 17, 2021"
81,6058,2.30Ξ,($786),"Sep 23, 2020"
82,6058,1.55Ξ,($584),"Sep 14, 2020"
83,6058,1.30Ξ,($480),"Sep 11, 2020"
84,6058,1.25Ξ,($459),"Sep 11, 2020"
85,6058,1.24Ξ,($452),"Sep 11, 2020"
86,6058,1.45Ξ,($299),"May 27, 2020"
87,6059,21Ξ,"($44,374)","Apr 03, 2021"
88,6059,5Ξ,"($3,114)","Dec 22, 2020"
89,6059,3.75Ξ,"($1,298)","Sep 24, 2020"
90,6059,1.25Ξ,($260),"May 23, 2020"
91,6061,50Ξ,"($115,979)","Jul 06, 2021"
92,6061,36.50Ξ,"($64,078)","Mar 13, 2021"
93,6062,65Ξ,"($221,460)","May 18, 2021"
94,6063,0.05Ξ,($29),"May 31, 2018"
95,6064,16Ξ,"($33,968)","Jun 29, 2021"
96,6065,25Ξ,"($46,932)","Jul 17, 2021"
97,6065,23.95Ξ,"($45,043)","Jul 17, 2021"
98,6065,22.85Ξ,"($50,758)","Jul 05, 2021"
99,6065,21.50Ξ,"($45,904)","Jul 01, 2021"
100,6066,19.25Ξ,"($35,476)","Jun 27, 2021"
101,6066,15.50Ξ,"($29,860)","Jun 21, 2021"
102,6067,0.28Ξ,($90),"Aug 21, 2017"
103,6068,21.69Ξ,"($50,451)","Jul 04, 2021"
104,6068,20.69Ξ,"($72,998)","May 08, 2021"
105,6068,24Ξ,"($66,505)","Apr 29, 2021"
106,6068,1Ξ,($204),"May 22, 2020"
107,6068,0.30Ξ,($52),"Oct 18, 2019"
108,6068,0.30Ξ,($63),"Jul 29, 2019"
109,6069,8.55Ξ,"($14,875)","Feb 17, 2021"
110,6069,3.15Ξ,"($1,114)","Sep 27, 2020"
111,6069,1.99Ξ,($676),"Sep 23, 2020"
112,6069,1.40Ξ,($526),"Sep 14, 2020"
113,6070,2.49Ξ,($874),"Sep 24, 2020"
114,6070,1.60Ξ,($602),"Sep 14, 2020"
115,6070,1Ξ,($190),"May 13, 2020"
116,6071,15.25Ξ,"($35,480)","May 21, 2021"
117,6072,27.69Ξ,"($50,065)","Jun 25, 2021"
118,6072,20.50Ξ,"($50,339)","Jun 08, 2021"
119,6073,55Ξ,"($113,513)","Apr 08, 2021"
120,6073,44.75Ξ,"($92,499)","Apr 08, 2021"
121,6074,22Ξ,"($47,073)","Jul 11, 2021"
122,6075,65Ξ,"($135,695)","Apr 20, 2021"
123,6077,5.99Ξ,"($2,173)","Sep 28, 2020"
124,6077,1.20Ξ,($445),"Sep 10, 2020"
125,6077,0.40Ξ,($118),"Jun 21, 2019"
126,6079,3.60Ξ,"($2,141)","Dec 07, 2020"
127,6079,1Ξ,($135),"Jan 05, 2020"
128,6079,0.40Ξ,($118),"Jun 21, 2019"
129,6080,37.31Ξ,"($66,339)","Mar 21, 2021"
130,6081,19Ξ,"($23,927)","Jan 23, 2021"
131,6081,3.25Ξ,($628),"Apr 27, 2020"
132,6081,0.61Ξ,($116),"Jul 11, 2017"
133,6085,15.97Ξ,"($28,590)","Jun 27, 2021"
134,6085,14.50Ξ,"($29,315)","Jun 24, 2021"
